Date and Time of initial call,Date and time of Ranger response,Borough,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
07/17/2018 11:40:00 AM,07/17/2018 12:00:00 PM,Manhattan,Central Park,"North Woods along fence west of the Ravine, close to Huddlestone Arch",Raccoon,Public,Native,DOA,1,Juvenile,Small Mammals-RVS,1-1-1588182966,Submitted for DEC Testing,1,false,false,,,false,false,
07/12/2018 11:15:00 AM,07/12/2018 11:30:00 AM,Brooklyn,Prospect Park,,Raccoon,Employee,Native,N/A,1,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
07/16/2018 02:40:00 PM,07/16/2018 02:50:00 PM,Queens,Alley Pond Park Tennis Courts Near Court 16,,Raccoon,Central,Native,N/A,2,Adult,Small Mammals-RVS,,Unfounded,0,false,false,,,false,false,
07/15/2018 06:40:00 PM,07/15/2018 06:40:00 PM,Bronx,Van Cortlandt Park,,Mallard,Public,Native,Healthy,0.5,Infant,Birds,,Relocated/Condition Corrected,7,false,false,,,false,false,
07/12/2018 11:00:00 AM,07/12/2018 12:00:00 PM,Brooklyn,Prospect Park,,Raccoon,Employee,Native,Healthy,1.5,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
07/14/2018 11:30:00 AM,07/14/2018 12:10:00 PM,Manhattan,Central Park,Children's Playground close to 59th St,Raccoon,Public,Native,N/A,1,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
07/14/2018 01:00:00 PM,07/14/2018 01:15:00 PM,Brooklyn,Owl's Head Park,,House Sparrow,Central,Native,Injured,3.5,Adult,Birds,1-11-587862230,Rehabilitator,1,false,false,Wild Bird Fund,,false,false,
07/14/2018 11:00:00 AM,07/14/2018 11:15:00 AM,Manhattan,Central Park,Conservatory Gardens,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-1-1588847790,ACC,1,false,false,,,false,false,34433
07/12/2018 04:37:00 PM,07/12/2018 05:15:00 PM,Manhattan,Central Park,base of stairs to the Arsenal,pigeon,Employee,Native,Unhealthy,1.5,Adult,Birds,,Relocated/Condition Corrected,1,false,false,,,false,false,
07/12/2018 12:30:00 PM,07/12/2018 12:30:00 PM,Manhattan,Morningside Park,Playground 123,raccoon,Employee,Native,Healthy,0.75,Juvenile,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
07/14/2018 09:15:00 AM,07/14/2018 09:30:00 AM,Manhattan,Central Park,in the bushes just outside of the fence to the 110thst Playground,Raccoon,"Conservancies/""Friends of"" Groups",Native,Injured,1,Infant,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
07/12/2018 10:30:00 AM,07/12/2018 11:30:00 AM,Manhattan,Central Park,North Meadow Ball Fields,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-11-588847790,ACC,1,false,false,,,false,false,34207
07/13/2018 02:30:00 PM,07/13/2018 02:30:00 PM,Bronx,Van Cortlandt Park,,Infant Squirrel,Other,Native,N/A,2,Infant,Small Mammals-non RVS,1-11-588704060,Rehabilitator,1,false,false,,,false,false,
07/13/2018 09:00:00 AM,07/13/2018 09:30:00 AM,Manhattan,Central Park,93st & Bridlepath,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-11-585670172,ACC,1,false,false,,,false,false,34281
07/11/2018 09:30:00 AM,07/11/2018 10:00:00 AM,Manhattan,Central Park,one in lasker rink,Raccoon,"Conservancies/""Friends of"" Groups",Native,DOA,5,Adult;#Juvenile,Small Mammals-RVS,1-11-587408810,ACC,3,false,false,,,false,false,34117
07/13/2018 10:43:00 AM,07/13/2018 10:44:00 AM,Queens,Fort Totten Park,,Red-Eared Slider,Employee,Domestic,DOA,0.5,Juvenile,Domestic,1-11-588703713,Relocated/Condition Corrected,1,false,false,,,false,false,
07/12/2018 10:30:00 AM,07/12/2018 10:50:00 AM,Manhattan,Central Park,Play ground east 67th St,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Juvenile,Small Mammals-RVS,1-11-585601187,ACC,1,false,false,,,false,false,34206
07/11/2018 03:00:00 PM,07/11/2018 03:10:00 PM,Queens,Rockaway Beach and Boardwalk,,American Oystercatcher,Employee,Native,Injured,3,Adult,Birds,1-11-5842988950,Rehabilitator,1,false,false,Bobby Horvath,,false,false,
07/06/2018 08:45:00 AM,07/06/2018 12:01:00 PM,Manhattan,Central Park,,raccoon,Employee,Native,N/A,0,Adult,Small Mammals-RVS,,Advised/Educated others,1,false,false,,,false,false,
07/05/2018 01:00:00 PM,07/05/2018 01:18:00 PM,Manhattan,Central Park,Lasker Rink,raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.75,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
07/05/2018 09:08:00 AM,07/05/2018 09:19:00 AM,Manhattan,Sheltering Arms Playground,,opossum,Employee,Native,Healthy,0.5,Juvenile,Small Mammals-non RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
07/08/2018 10:00:00 AM,07/08/2018 10:30:00 AM,Manhattan,Central Park,,Raccoon,"Conservancies/""Friends of"" Groups",Native,DOA,2,Adult,Small Mammals-RVS,,ACC,,false,false,,,false,false,
07/10/2018 09:00:00 AM,07/10/2018 09:30:00 AM,Manhattan,Central Park,Lasker pool laying in-between the fence posts in the grass,Raccoon,Employee,Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-11-586639352,ACC,1,false,false,,,false,false,
07/08/2018 10:17:00 PM,07/08/2018 12:00:00 PM,Bronx,Van Cortlandt Park,,Skunk,Employee,Native,N/A,0.25,Adult,Small Mammals-RVS,1-11-586588522,Unfounded,1,false,false,,,false,false,
07/08/2018 09:40:00 AM,07/08/2018 11:00:00 AM,Bronx,Space Time Playground,,Kittens,Central,Domestic,Healthy,1,Juvenile,Domestic,1-11-584669690,ACC,3,false,false,,,false,false,40827
07/07/2018 09:15:00 AM,07/07/2018 09:36:00 AM,Manhattan,Central Park,Strawberry Fields by the Drive,,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-11-584114940,ACC,1,false,false,,,false,false,40666
07/07/2018 11:20:00 AM,07/07/2018 12:25:00 PM,Brooklyn,Prospect Park,,Mallard Duck,"Conservancies/""Friends of"" Groups",Native,Injured,3.5,Adult,Birds,,Rehabilitator,1,false,false,Wild Bird Fund,,false,false,
07/06/2018 11:00:00 AM,07/06/2018 12:00:00 PM,Manhattan,Central Park,alleyway of the Lasker Rink and Pool,Raccoon,Central,Native,DOA,0.5,Juvenile,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
07/05/2018 01:58:00 PM,07/05/2018 01:58:00 PM,Staten Island,Ocean Breeze Park,,Cormorant,Employee,Native,Unhealthy,1.5,Juvenile,Birds,1-11-584298431,ACC,1,false,false,,,false,false,40434
07/05/2018 11:30:00 AM,07/05/2018 12:16:00 PM,Queens,Forest Park,,Raccoon,Employee,Native,DOA,2,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,3,false,false,,,false,false,
07/05/2018 02:05:00 PM,07/05/2018 02:49:00 PM,Queens,Rockaway Beach and Boardwalk,,Peregrine Falcon,Employee,Native,Injured,3,Adult,Raptors,1-11-582650930,Rehabilitator,1,false,false,Bobby Horvath,,false,false,
07/04/2018 10:30:00 AM,07/04/2018 10:35:00 AM,Queens,Flushing Meadows Corona Park,,Rock Dove,Employee,Native,Injured,1,Adult,Birds,,Relocated/Condition Corrected,,false,false,,,false,false,
06/28/2018 03:50:00 PM,06/28/2018 04:00:00 PM,Manhattan,Central Park,,Raccoon,Other,Native,Injured,1.5,Adult,Small Mammals-RVS,1-11-578998211,ACC,1,false,true,,,false,false,39582
06/12/2018 08:30:00 AM,06/14/2018 02:00:00 PM,Manhattan,Riverside Park,,Red-tailed Hawk,Public,Native,Healthy,2,Juvenile,Raptors,,Monitored Animal,1,false,true,,2,false,false,
06/27/2018 10:43:00 AM,06/27/2018 10:44:00 AM,Manhattan,John V. Lindsay East River Park,,dutch blue love bird,Central,Exotic,Unhealthy,0,Infant,Birds,,Advised/Educated others,1,false,false,,,false,false,
06/22/2018 02:45:00 PM,06/22/2018 03:00:00 PM,Manhattan,Central Park,,,Employee,Native,Healthy,1.25,Infant,Birds,,Relocated/Condition Corrected,1,false,false,,,false,false,
06/24/2018 10:00:00 AM,06/24/2018 11:00:00 AM,Manhattan,Central Park,,Raccoon,Central,Native,Injured,2,Infant,Small Mammals-RVS,1-11-580068259,ACC,1,false,false,,,false,false,32202
06/15/2018 12:00:00 AM,06/15/2018 12:00:00 AM,Manhattan,Riverside Park,,Red-tailed Hawk,Public,Native,Healthy,4,Juvenile,Raptors,,Monitored Animal,1,false,true,,4,false,false,
06/14/2018 12:00:00 AM,06/14/2018 12:00:00 AM,Manhattan,Riverside Park,,Red-tailed Hawk,Public,Native,Healthy,3.5,Juvenile,Raptors,,Monitored Animal,1,false,true,,4,false,false,
06/12/2018 08:30:00 AM,06/12/2018 10:00:00 AM,Manhattan,Riverside Park,,Red-tailed Hawk,Public,Native,Healthy,4.5,Juvenile,Raptors,,Monitored Animal,2,false,true,,4,false,false,
06/16/2018 02:00:00 PM,06/16/2018 02:30:00 AM,Manhattan,Riverside Park,,Red-tailed Hawk,Public,Native,Healthy,2.5,Juvenile,Raptors,1-11-572509140,Rehabilitator,1,false,true,Bobby Horvath,1,false,false,
06/15/2018 02:00:00 PM,06/15/2018 02:52:00 PM,Manhattan,Central Park,,double crested cormorant,Public,Native,N/A,1.75,Adult,Birds,,Unfounded,1,false,false,,,false,false,
06/15/2018 02:00:00 PM,06/15/2018 04:30:00 PM,Manhattan,Central Park,,raccoon,"Conservancies/""Friends of"" Groups",Native,Healthy,1.5,Infant,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
06/17/2018 02:30:00 PM,06/17/2018 03:40:00 PM,Manhattan,Central Park,,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-11-576043760,ACC,1,false,false,,,false,false,31565
06/12/2018 05:10:00 PM,06/12/2018 05:15:00 PM,Manhattan,Riverside Park,,Red-tailed Hawk,Public,Native,Healthy,3.05,Juvenile,Raptors,1-11-575043572,Rehabilitator,1,false,true,Bobby Horvath,0.5,false,false,
06/12/2018 02:00:00 PM,06/12/2018 02:35:00 AM,Manhattan,Central Park,,Raccoon,"Conservancies/""Friends of"" Groups",Native,Injured,2,Juvenile,Small Mammals-RVS,1-11-579641512,ACC,1,false,false,,,false,false,37529
06/11/2018 10:15:00 AM,06/11/2018 10:30:00 AM,Manhattan,Riverside Park,,Red-tailed Hawk,Public,Native,Injured,2,Juvenile,Raptors,1-11-5729099901,Rehabilitator,1,false,true,Bobby Horvath,2,false,false,
06/05/2018 12:00:00 AM,06/05/2018 12:01:00 AM,Manhattan,Abingdon Square,,raccoon,Central,Native,Healthy,0.75,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,true,,1,false,false,
06/01/2018 12:00:00 PM,06/01/2018 12:30:00 PM,Manhattan,Central Park,,RACCOON,Employee,Native,Injured,1.25,Juvenile,Small Mammals-RVS,,ACC,1,false,false,,,false,false,36061
05/16/2018 09:00:00 AM,05/17/2018 10:10:00 AM,Manhattan,Morningside Park,,Raccoon,Employee,Native,DOA,1.5,Juvenile,Small Mammals-RVS,,ACC,2,false,true,,0.5,false,false,28316
05/02/2018 09:30:00 AM,05/02/2018 12:00:00 PM,Manhattan,Central Park,,raccoon,Public,Native,Healthy,0.75,Adult,Small Mammals-RVS,,Unfounded,1,,,,,,false,
05/07/2018 01:30:00 PM,05/07/2018 01:40:00 PM,Manhattan,Central Park,,Red Tailed Hawk,Employee,Native,DOA,1,Adult,Raptors,,Submitted for DEC Testing,1,,,,,,false,
